日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-03-27,000001,10.91,11.02,11.05,10.83,884129,972821270.14,2.01,0.73,0.08,0.46
2026-03-30,000001,10.98,10.99,11.05,10.94,632522,696208267.35,1.0,-0.27,-0.03,0.33
2026-03-31,000001,11.0,11.08,11.18,10.99,1164565,1294675716.15,1.73,0.82,0.09,0.6
2026-04-01,000001,11.09,11.15,11.23,11.08,918925,1025538832.67,1.35,0.63,0.07,0.47
2026-04-02,000001,11.15,11.27,11.32,11.13,1148895,1292756711.67,1.7,1.08,0.12,0.59
2026-04-03,000001,11.28,11.12,11.28,11.09,757757,845283641.29,1.69,-1.33,-0.15,0.39
2026-04-07,000001,11.12,11.03,11.14,10.97,607955,671322754.77,1.53,-0.81,-0.09,0.31
2026-04-08,000001,11.11,11.22,11.22,11.05,812976,906308305.45,1.54,1.72,0.19,0.42
2026-04-09,000001,11.17,11.1,11.22,11.06,602365,669239285.37,1.43,-1.07,-0.12,0.31
2026-04-10,000001,11.1,11.09,11.13,11.07,481047,534088990.51,0.54,-0.09,-0.01,0.25
2026-04-13,000001,11.05,11.07,11.09,11.03,406104,449056813.73,0.54,-0.18,-0.02,0.21
2026-04-14,000001,11.07,11.17,11.17,11.07,496151,551741632.58,0.9,0.9,0.1,0.26
2026-04-15,000001,11.16,11.21,11.22,11.15,503938,564031568.33,0.63,0.36,0.04,0.26
2026-04-16,000001,11.2,11.09,11.23,11.07,680915,758006903.42,1.43,-1.07,-0.12,0.35
2026-04-17,000001,11.09,11.01,11.11,10.99,722530,797678405.53,1.08,-0.72,-0.08,0.37
2026-04-20,000001,11.01,11.06,11.07,10.96,630034,695097193.51,1.0,0.45,0.05,0.32
2026-04-21,000001,11.04,11.08,11.16,11.03,806946,896659539.18,1.18,0.18,0.02,0.42
2026-04-22,000001,11.08,10.98,11.09,10.95,839054,923203009.35,1.26,-0.9,-0.1,0.43
2026-04-23,000001,10.98,11.0,11.03,10.93,648067,711757543.31,0.91,0.18,0.02,0.33
2026-04-24,000001,10.98,11.0,11.03,10.92,582710,639781173.32,1.0,0.0,0.0,0.3
